Date,the, a, an, of, i, you, Label
"10/10/2015",8,1,1,6,0,0,0
"11/13/2014",7,1,0,3,0,0,1
"05/03/2010",1,1,0,3,0,0,0
"05/03/2012",5,2,4,6,4,5,0
"03/07/2012",10,4,0,0,1,0,1
"04/05/2011",0,0,0,1,0,0,1
"12/11/2013",5,5,0,4,0,0,0
"05/29/2011",0,0,0,0,0,0,0
"03/02/2010",1,0,0,1,0,0,1
"06/27/2010",0,1,0,0,0,0,0
"09/30/2016",445,268,29,230,76,118,1
"04/08/2009",0,1,0,0,0,0,1
"04/26/2010",1,0,0,0,0,0,0
"10/31/2010",1,0,0,0,0,0,0
"08/02/2011",1,2,0,2,0,0,0
"01/06/2012",36,16,4,16,0,0,1
"10/13/2009",1,0,0,1,0,0,1
"08/07/2013",2,2,0,4,0,0,0
"03/28/2011",0,0,0,0,1,0,0
"09/05/2012",0,0,0,1,0,1,0
"02/04/2011",1,0,0,0,1,0,1
"06/09/2009",1,0,0,1,0,0,1
"01/27/2011",0,0,0,0,0,0,1
"08/07/2012",6,16,0,4,4,0,1
"12/14/2009",0,0,0,0,0,0,0
"07/09/2013",2,2,1,3,1,1,1
"02/25/2010",2,0,0,1,0,0,0
"12/16/2014",17,5,1,7,2,1,0
"06/06/2012",4,3,0,3,2,2,1
"11/18/2015",51,33,5,20,8,13,1
"12/11/2012",0,4,0,4,8,4,1
"05/08/2013",3,9,5,6,0,8,1
"11/13/2013",2,3,1,4,3,1,1
"10/10/2016",372,220,24,213,94,73,0
"07/25/2010",0,1,0,0,0,0,0
"02/09/2012",5,0,0,4,0,0,1
"09/30/2015",28,18,2,11,4,4,1
"05/29/2012",81,61,4,16,15,18,0
"06/27/2011",0,0,0,1,0,0,0
"04/05/2010",3,2,0,2,0,0,0
"05/06/2009",0,0,0,0,0,0,1
"05/24/2010",0,1,0,0,0,0,0
"04/26/2011",0,0,0,0,0,0,1
"03/28/2012",1,0,0,1,0,0,0
"01/06/2011",2,0,0,0,0,0,1
"02/04/2010",0,0,0,0,0,0,0
"03/23/2010",1,0,0,0,0,2,1
"01/27/2012",0,0,0,0,1,1,1
"07/07/2009",2,1,0,0,0,0,0
"07/09/2010",2,0,0,0,0,0,1
"02/25/2011",0,1,0,0,0,0,1
"10/31/2014",19,13,0,6,1,2,1
"04/21/2010",2,0,0,0,0,0,1
"01/22/2010",1,0,0,0,0,0,0
"05/24/2011",2,0,0,0,0,0,0
"11/18/2014",15,10,0,9,2,1,1
"06/22/2010",0,2,0,1,1,0,0
"11/13/2012",4,4,4,8,0,0,0
"09/08/2009",0,1,0,0,0,0,0
"12/11/2011",0,1,0,0,0,1,0
"12/16/2013",2,1,0,0,0,0,0
"07/25/2011",1,0,0,0,0,0,0
"02/09/2011",0,0,0,0,0,0,0
"06/27/2012",18,2,0,16,0,1,1
"01/06/2010",0,0,0,0,0,0,0
"05/29/2013",4,1,0,2,0,0,0
"09/30/2014",26,9,5,10,7,3,0
"04/26/2012",33,1,1,6,8,0,1
"10/31/2012",8,4,0,6,0,0,0
"02/20/2011",0,0,0,0,0,0,0
"03/28/2013",1,2,0,0,0,1,1
"04/03/2009",1,0,0,1,1,0,1
"09/05/2010",1,1,0,1,0,0,0
"03/23/2012",8,4,0,3,2,0,1
"02/25/2012",0,1,0,0,0,0,0
"10/31/2013",6,3,0,2,2,1,0
"05/24/2012",11,14,0,4,4,8,0
"04/21/2011",0,0,0,0,0,0,1
"06/04/2009",0,2,0,1,1,1,1
"06/06/2010",1,0,0,1,0,0,0
"11/18/2013",8,5,2,5,1,1,0
"06/27/2013",1,2,1,1,0,0,1
"11/13/2011",0,1,0,0,0,0,0
"07/25/2012",1,0,0,1,0,0,0
"08/05/2009",0,0,0,0,0,2,0
"12/16/2012",0,1,0,0,0,0,0
"04/29/2009",1,2,0,1,1,0,1
"02/09/2010",0,0,0,0,0,0,1
"08/28/2013",4,1,0,2,0,0,1
"05/03/2015",12,7,1,3,1,2,0
"10/15/2012",8,12,4,6,0,4,0
"06/06/2016",89,46,6,44,16,14,0
"01/22/2013",17,4,1,4,8,7,0
"09/05/2015",1,0,0,0,0,0,0
"03/28/2014",3,2,0,0,6,1,1
"08/02/2014",0,0,0,0,0,0,0
"12/30/2009",0,1,0,0,0,0,1
"03/30/2009",2,2,0,0,0,0,0
"01/01/2016",13,4,0,7,8,1,0
"02/25/2013",12,8,0,4,8,4,0
"01/22/2012",1,0,0,1,0,0,0
"05/24/2013",0,0,0,1,0,0,0
"04/21/2012",0,0,0,0,0,0,0
"07/02/2009",0,0,0,0,0,0,0
"07/20/2011",0,1,0,1,0,0,0
"06/27/2014",14,10,0,8,1,4,1
"11/13/2010",1,0,0,0,0,0,0
"03/26/2009",3,0,0,0,0,0,1
"12/16/2011",33,0,0,8,0,0,1
"08/28/2012",0,0,0,0,0,0,1
"03/07/2016",75,37,7,43,20,10,0
"05/03/2016",129,62,12,61,22,29,0
"10/15/2013",8,8,1,4,1,2,0
"09/05/2016",82,36,4,58,8,17,0
"02/04/2015",5,8,0,9,3,4,0
"12/07/2010",0,0,0,0,0,0,1
"01/22/2014",4,1,0,6,1,0,1
"08/02/2015",2,2,0,0,1,2,0
"02/25/2015",19,10,0,14,2,2,0
"03/28/2015",10,5,0,5,0,5,0
"04/21/2013",0,0,0,1,1,3,0
"02/25/2014",9,3,0,6,1,0,0
"01/01/2015",0,1,0,0,0,0,0
"02/04/2016",89,67,6,60,62,22,1
"06/27/2015",6,6,0,5,1,2,0
"12/16/2010",0,0,0,0,0,0,1
"08/28/2011",1,0,0,0,0,0,0
"06/10/2015",22,6,4,13,9,5,1
"05/03/2013",55,18,0,13,16,0,1
"06/25/2009",2,2,0,1,1,0,1
"11/04/2010",2,2,0,1,0,0,1
"06/06/2014",17,6,1,10,3,1,1
"10/15/2014",13,3,1,4,2,2,0
"03/07/2015",10,5,0,1,1,5,0
"02/04/2014",9,4,1,3,1,2,1
"01/22/2015",19,10,1,17,1,2,1
"12/07/2011",2,1,0,10,0,0,0
"07/13/2016",161,76,8,72,50,29,0
"11/16/2009",1,0,0,3,1,0,0
"09/05/2013",9,5,2,5,1,4,1
"01/01/2013",0,1,0,0,0,1,0
"03/28/2016",74,37,3,30,11,19,0
"12/19/2009",0,1,0,1,0,0,0
"08/02/2012",1,1,0,0,0,0,0
"02/25/2016",89,53,5,52,21,23,1
"04/21/2014",3,6,1,4,0,0,0
"01/01/2014",4,2,0,0,1,0,0
"05/24/2015",1,1,1,0,0,0,0
"07/09/2014",14,3,1,5,1,1,1
"07/20/2013",0,0,0,0,0,0,0
"06/27/2016",163,62,10,69,17,12,0
"06/06/2013",4,5,0,2,0,1,1
"08/28/2010",0,2,0,0,0,0,0
"06/10/2016",92,41,3,41,15,19,0
"12/11/2015",34,15,2,10,5,11,0
"10/15/2015",47,13,2,10,7,5,1
"11/04/2011",52,44,4,24,8,20,0
"05/03/2014",2,2,0,1,1,0,0
"06/06/2015",12,2,1,8,0,0,0
"03/07/2014",18,9,0,6,6,8,0
"12/07/2012",28,20,4,36,4,0,0
"07/09/2016",53,23,1,30,17,13,0
"01/22/2016",33,14,3,15,9,15,1
"09/05/2014",9,6,0,6,1,0,1
"02/04/2013",0,0,0,1,0,8,0
"07/28/2009",1,0,0,0,0,0,1
"01/01/2012",2,1,0,1,0,1,0
"10/01/2010",3,0,0,0,0,1,1
"08/02/2013",6,5,0,1,1,1,1
"05/24/2016",108,53,4,45,27,19,1
"04/21/2015",17,11,2,6,4,5,1
"07/09/2015",32,7,1,11,2,2,1
"07/20/2014",0,1,0,0,0,0,0
"03/11/2016",64,18,1,20,3,18,1
"04/14/2015",20,14,0,8,2,5,0
"08/21/2009",3,0,0,3,3,0,1
"11/04/2012",0,1,0,1,0,0,0
"09/26/2016",803,402,46,370,227,151,0
"12/02/2011",84,28,4,20,8,12,1
"01/15/2016",48,17,2,21,7,15,0
"06/20/2009",1,2,0,0,1,1,0
"09/17/2009",1,0,0,0,0,0,0
"07/13/2014",2,1,0,0,0,0,0
"06/15/2015",21,1,0,7,1,4,0
"11/09/2014",2,1,0,0,0,0,0
"09/21/2014",0,0,0,0,0,0,0
"06/22/2016",181,77,18,75,24,26,0
"01/10/2015",4,0,0,3,0,0,0
"09/14/2014",0,1,0,0,0,0,0
"09/19/2016",268,134,26,137,30,61,0
"08/14/2009",1,0,1,0,0,0,0
"10/27/2010",0,0,0,0,0,0,1
"06/13/2009",2,0,0,2,0,0,0
"11/04/2013",12,0,1,6,0,0,0
"03/16/2015",21,5,0,6,0,3,0
"04/14/2016",90,41,6,52,13,10,0
"09/26/2015",4,1,0,2,1,0,0
"12/02/2012",1,2,0,0,0,0,0
"11/09/2015",49,27,2,16,5,13,0
"08/28/2016",71,42,11,41,21,15,0
"01/15/2015",8,5,1,4,0,3,0
"07/13/2015",22,9,0,13,1,6,0
"06/15/2016",120,52,5,43,15,26,0
"09/21/2013",0,1,0,0,0,0,0
"05/22/2009",1,3,0,5,1,1,0
"09/14/2015",17,5,0,7,0,0,0
"01/10/2014",8,3,0,5,2,2,1
"03/16/2016",103,50,8,50,8,17,1
"12/02/2013",2,4,0,1,0,1,0
"09/26/2014",17,7,2,4,3,3,1
"03/16/2014",8,3,0,3,0,0,0
"08/28/2015",12,6,0,9,1,1,1
"04/14/2013",1,2,0,1,2,0,0
"01/15/2014",3,1,0,2,2,4,1
"11/04/2014",14,8,2,9,0,2,0
"06/15/2013",0,1,1,1,0,2,0
"09/21/2012",4,4,0,0,0,0,1
"07/13/2012",5,1,0,6,0,1,1
"09/19/2014",10,5,1,4,2,2,0
"01/10/2013",17,1,4,4,8,0,1
"09/14/2012",5,5,0,4,1,12,1
"03/21/2009",2,1,0,1,0,0,0
"11/07/2009",1,1,0,1,0,0,0
"04/14/2012",4,2,0,2,1,1,0
"08/28/2014",1,1,0,3,1,0,0
"09/26/2013",10,3,1,1,2,0,1
"12/02/2014",16,13,0,12,0,2,1
"03/16/2013",0,0,0,0,0,0,0
"04/14/2014",4,3,0,2,0,1,0
"11/22/2015",16,2,2,4,3,2,0
"01/15/2013",12,16,4,4,16,8,0
"11/04/2015",38,23,5,27,7,2,0
"01/10/2011",0,0,0,0,0,0,0
"07/13/2013",0,0,0,0,0,0,0
"11/25/2010",0,0,0,0,0,0,0
"06/15/2014",0,2,0,0,2,0,0
"01/18/2010",2,0,1,1,1,4,0
"09/19/2015",4,0,0,2,0,0,0
"09/14/2013",3,0,0,2,0,1,0
"01/10/2012",8,0,0,0,1,3,1
"10/27/2011",4,0,0,0,0,0,1
"10/09/2009",0,1,0,0,0,0,1
"03/19/2010",0,0,0,0,0,0,0
"10/24/2015",16,4,1,5,5,1,0
"12/02/2015",48,10,3,16,3,15,0
"09/30/2013",6,3,0,4,0,1,0
"07/04/2015",4,3,0,1,0,1,0
"01/15/2012",0,0,0,0,0,1,0
"05/31/2009",0,1,0,2,0,1,0
"11/22/2014",3,0,0,1,0,0,0
"05/29/2014",11,7,0,7,1,5,1
"09/26/2012",10,3,2,1,3,5,0
"09/19/2011",0,0,0,0,0,0,0
"10/22/2009",2,1,0,1,0,0,1
"11/20/2011",4,1,1,0,2,1,0
"03/23/2013",1,0,0,0,0,0,0
"11/20/2012",25,21,0,8,28,28,1
"10/27/2014",21,8,2,12,3,1,0
"09/03/2009",0,0,0,0,0,0,1
"11/22/2013",4,3,0,0,0,4,1
"06/22/2012",8,2,0,4,4,0,1
"04/14/2010",2,0,0,0,1,0,1
"07/04/2016",60,29,2,48,10,12,0
"01/15/2011",0,0,0,0,0,0,0
"11/02/2009",2,0,0,0,0,0,0
"09/30/2012",4,1,0,4,1,0,0
"05/29/2015",29,16,2,8,6,13,0
"09/26/2011",20,0,0,0,4,0,0
"11/09/2011",5,0,0,12,0,0,0
"09/19/2012",16,0,0,4,8,0,1
"01/06/2016",29,22,2,19,2,8,0
"11/20/2010",1,0,0,0,0,0,0
"03/23/2014",1,0,0,0,0,0,0
"09/19/2013",4,1,0,3,1,1,1
"03/19/2012",15,16,0,1,4,1,0
"10/31/2015",2,1,0,2,0,2,0
"10/27/2013",0,0,0,1,0,0,0
"11/18/2011",4,0,0,4,4,0,0
"05/29/2016",44,29,2,17,12,10,0
"10/29/2015",58,21,2,20,8,13,0
"11/22/2012",2,4,0,0,1,0,0
"04/05/2016",89,43,5,49,18,11,0
"04/14/2011",0,0,0,0,0,0,0
"01/13/2010",3,0,0,0,1,0,1
"06/22/2013",1,0,0,0,0,0,0
"09/30/2011",0,0,0,0,0,0,0
"01/15/2010",0,0,0,0,0,0,0
"04/05/2014",0,0,0,0,0,0,0
"09/26/2010",1,0,0,0,0,0,0
"07/04/2013",5,4,1,5,0,0,0
"08/26/2009",1,2,0,0,0,0,1
"09/21/2016",465,175,31,191,29,56,1
"11/09/2012",0,0,1,0,0,0,1
"06/18/2012",12,12,0,4,1,0,0
"01/06/2015",11,1,0,3,3,7,0
"04/12/2011",0,1,0,0,0,0,0
"04/12/2010",1,0,0,0,0,0,0
"03/23/2015",20,9,2,7,5,3,0
"11/20/2014",10,11,0,12,1,7,1
"10/18/2009",0,0,0,0,0,0,0
"11/18/2010",1,0,0,0,0,0,1
"03/19/2013",1,1,0,0,1,0,0
"11/22/2011",37,20,0,16,0,4,0
"01/13/2011",0,0,1,0,0,0,0
"09/14/2016",260,133,22,124,45,43,1
"10/29/2014",13,4,0,4,1,1,0
"06/22/2014",4,2,0,1,0,1,0
"04/05/2015",3,0,0,0,2,0,0
"09/30/2010",0,3,0,0,0,0,0
"04/05/2013",96,23,0,17,11,12,0
"05/27/2009",0,2,0,1,1,1,0
"07/04/2014",5,2,0,1,1,8,0
"12/02/2010",0,0,0,0,0,0,1
"06/18/2013",3,2,1,2,0,1,1
"01/06/2014",3,2,1,2,2,4,0
"03/14/2009",0,0,0,0,1,0,0
"04/12/2012",70,55,4,29,12,8,1
"09/21/2015",15,11,0,8,2,4,0
"11/20/2013",7,2,1,4,6,2,0
"01/10/2016",21,5,1,12,7,1,0
"10/29/2013",6,3,0,2,0,2,1
"10/27/2015",42,18,1,20,1,8,0
"03/23/2016",91,43,5,50,9,16,0
"03/19/2014",9,1,0,6,1,2,0
"01/13/2012",12,4,8,8,4,0,0
"06/22/2015",12,4,0,5,1,0,0
"07/11/2011",0,0,0,0,0,0,0
"11/13/2015",50,18,5,17,12,10,0
"07/19/2009",1,0,0,1,0,0,0
"06/18/2014",21,3,1,5,1,1,1
"02/11/2013",0,16,0,0,12,40,0
"10/03/2013",11,3,0,11,3,3,0
"03/19/2015",18,6,0,2,1,3,1
"05/15/2014",7,6,1,2,0,1,0
"10/08/2015",35,15,1,17,6,10,1
"02/16/2014",1,2,0,1,1,0,0
"10/29/2012",14,2,0,12,0,0,0
"06/18/2015",24,5,1,8,1,1,1
"05/10/2012",19,12,0,11,2,3,0
"08/14/2013",4,2,0,4,0,2,0
"04/15/2009",0,1,0,0,0,0,1
"10/24/2010",1,1,0,0,0,0,0
"08/19/2015",15,8,3,6,1,8,0
"11/27/2011",4,0,0,0,0,0,0
"02/11/2014",10,5,0,8,4,0,1
"05/15/2015",28,16,0,10,9,11,0
"03/12/2009",0,0,0,0,0,0,1
"03/19/2016",45,10,1,19,2,5,0
"10/08/2016",343,153,23,172,59,71,0
"11/20/2015",38,19,1,16,5,15,1
"09/21/2009",4,1,0,0,0,1,0
"06/18/2016",41,26,4,21,16,13,0
"05/10/2013",2,1,0,0,0,0,1
"10/03/2014",18,5,1,12,1,4,1
"02/16/2015",2,2,0,3,0,0,0
"08/14/2014",5,5,0,5,0,2,1
"12/02/2009",1,2,0,1,0,0,1
"08/19/2016",152,81,11,80,30,17,0
"04/23/2016",32,23,2,17,6,11,0
"03/20/2015",16,14,0,5,0,7,1
"02/11/2015",20,6,1,5,4,0,1
"07/14/2009",0,0,0,0,0,0,1
"08/23/2009",0,1,0,1,0,0,0
"05/31/2011",0,0,0,0,0,0,0
"10/27/2009",0,0,0,0,0,0,0
"05/15/2016",41,11,2,15,6,9,0
"10/03/2011",13,16,0,4,12,0,0
"08/30/2010",0,0,0,0,0,0,0
"02/16/2016",44,31,2,20,8,13,0
"12/28/2009",1,0,0,0,0,0,0
"10/29/2010",0,0,0,0,0,0,1
"07/22/2015",11,9,1,6,1,5,0
"08/14/2015",19,11,3,5,3,3,1
"10/08/2013",5,4,1,3,0,1,0
"03/20/2016",35,11,2,14,10,8,0
"12/21/2009",1,0,0,0,0,0,0
"05/31/2010",0,0,0,0,0,0,0
"02/11/2016",100,65,4,50,49,39,0
"09/26/2009",1,2,0,1,0,0,0
"10/03/2012",128,48,4,50,29,49,1
"05/10/2015",7,0,0,1,1,0,0
"07/22/2016",119,56,7,63,30,20,1
"08/14/2016",67,39,8,33,16,7,0
"10/08/2014",9,10,0,5,0,4,1
"08/19/2010",0,0,0,0,0,0,0
"04/23/2014",6,3,0,1,0,1,0
"05/12/2010",0,0,0,0,0,0,1
"02/13/2011",0,0,0,0,0,0,0
"03/20/2013",24,0,0,0,0,0,1
"09/02/2015",14,5,1,5,4,2,1
"01/10/2010",1,1,0,1,1,0,0
"11/25/2013",0,3,0,0,1,2,0
"05/31/2013",4,7,0,2,0,0,0
"10/22/2012",88,16,4,40,20,16,0
"12/23/2009",1,0,0,0,0,0,1
"07/22/2013",5,5,0,6,2,1,0
"03/23/2009",4,0,0,0,0,0,0
"11/27/2015",26,10,2,15,3,8,0
"08/30/2012",2,0,0,0,2,0,0
"01/24/2016",21,7,1,10,1,4,0
"10/24/2014",9,8,0,9,4,6,1
"01/24/2014",2,0,0,2,0,0,0
"04/23/2015",40,10,0,9,5,6,1
"05/12/2011",1,1,0,1,0,0,1
"03/20/2014",5,2,0,8,0,1,1
"02/13/2010",0,0,0,0,0,0,0
"09/02/2016",180,89,13,86,18,30,1
"11/25/2012",5,0,4,4,0,0,0
"05/31/2012",7,3,0,4,2,3,0
"06/03/2016",148,43,3,47,20,22,0
"10/22/2011",2,0,0,0,0,0,0
"10/03/2010",0,1,0,0,0,1,0
"07/22/2014",10,2,0,2,2,1,1
"06/22/2009",3,1,0,1,0,0,0
"08/30/2011",1,0,0,0,0,0,1
"11/27/2014",7,3,2,2,0,0,0
"10/24/2013",2,1,0,2,1,0,1
"05/31/2015",3,3,0,2,1,0,0
"01/24/2013",3,0,0,2,0,0,0
"04/23/2012",15,10,0,10,0,2,0
"12/14/2011",13,4,0,0,4,4,0
"11/25/2015",33,11,2,18,3,11,1
"10/22/2015",31,22,1,19,5,3,1
"04/10/2009",2,0,1,0,0,0,0
"05/10/2010",1,0,0,0,0,0,0
"11/11/2010",1,1,0,0,0,0,0
"10/22/2014",12,2,0,5,1,0,0
"07/22/2011",0,0,0,0,0,0,1
"02/11/2010",1,0,0,3,0,0,1
"10/24/2012",0,0,0,0,0,1,0
"11/27/2013",0,1,0,0,0,0,1
"01/24/2012",1,10,1,0,0,0,1
"03/20/2012",12,1,8,2,9,4,0
"08/19/2013",6,1,0,7,0,2,0
"04/23/2013",2,2,0,2,0,1,1
"06/09/2010",2,1,0,0,0,0,0
"02/11/2012",2,1,0,2,0,1,0
"12/14/2010",0,0,0,1,0,0,1
"05/31/2014",4,0,0,0,0,0,0
"11/25/2014",15,6,0,3,1,1,1
"10/22/2013",5,4,2,3,3,2,1
"07/22/2012",1,1,0,0,0,0,0
"02/11/2011",0,0,0,0,0,0,1
"10/24/2011",0,0,4,4,0,4,0
"08/30/2013",5,3,0,2,1,4,0
"08/19/2014",8,4,1,7,3,2,1
"11/27/2012",14,0,0,4,0,4,0
"10/06/2013",2,2,0,1,1,3,0
"05/12/2014",8,0,1,2,0,1,0
"05/08/2009",3,2,0,0,1,0,1
"09/02/2011",0,1,0,0,0,1,0
"05/17/2016",101,47,9,43,19,24,0
"01/29/2013",12,8,0,8,0,0,0
"08/11/2013",10,2,0,2,0,0,0
"12/19/2015",6,5,1,2,0,5,0
"10/01/2011",0,4,0,0,4,0,0
"07/27/2010",0,0,0,0,0,0,0
"12/14/2013",1,1,0,2,0,0,0
"04/21/2016",104,38,6,39,11,14,0
"04/28/2011",1,0,0,0,0,0,1
"03/04/2013",1,0,0,0,0,0,0
"07/20/2015",18,9,0,4,1,4,0
"08/16/2015",10,3,0,4,1,0,0
"06/03/2013",24,2,0,11,0,0,0
"02/13/2016",43,21,0,18,5,6,0
"05/12/2015",23,13,3,12,2,7,0
"02/18/2016",87,95,24,43,46,38,0
"10/06/2014",8,9,1,4,4,2,0
"03/20/2010",0,1,0,0,0,0,0
"09/02/2012",0,1,0,1,0,2,0
"11/19/2009",2,0,0,0,0,0,0
"01/29/2012",0,0,0,0,4,2,0
"08/11/2014",5,3,0,0,2,1,0
"12/30/2010",1,0,0,0,0,0,0
"12/19/2014",10,6,0,3,0,2,1
"10/01/2012",5,6,0,6,0,0,0
"12/14/2012",0,1,0,0,4,0,0
"08/07/2009",0,2,0,0,0,0,1
"07/27/2011",0,0,0,0,0,0,0
"06/04/2010",2,0,0,0,0,0,0
"03/04/2012",9,4,0,2,1,1,0
"04/28/2012",5,1,0,1,10,0,0
"07/20/2016",153,58,15,83,27,28,1
"08/16/2016",154,71,13,76,39,37,0
"07/11/2009",0,0,0,0,0,0,0
"06/03/2012",0,0,0,0,0,0,0
"02/13/2015",11,8,0,9,3,1,1
"03/05/2011",1,1,0,1,0,0,0
"09/24/2009",2,0,0,0,0,1,0
"02/18/2015",32,12,2,8,2,6,1
"10/06/2015",26,5,0,8,1,6,0
"06/01/2016",97,48,7,45,17,19,1
"02/13/2013",10,4,0,9,8,0,1
"09/02/2013",5,4,0,5,0,2,0
"05/12/2012",1,0,0,1,0,0,0
"12/13/2014",11,0,0,8,0,0,0
"12/05/2009",2,0,0,1,0,0,0
"01/29/2011",0,0,0,0,0,0,0
"10/01/2013",2,4,1,2,2,2,1
"08/11/2011",0,0,0,1,1,2,1
"03/04/2016",126,47,3,74,8,17,1
"07/30/2009",2,1,0,1,0,0,1
"12/14/2015",37,13,1,17,10,12,0
"06/04/2012",2,0,0,1,0,0,0
"08/16/2013",0,1,0,0,1,0,0
"03/28/2009",1,1,0,1,0,0,0
"06/03/2015",31,13,1,9,7,3,1
"10/22/2010",0,0,0,0,0,0,1
"12/13/2015",20,1,1,8,1,1,0
"05/17/2013",12,0,4,12,1,0,1
"09/03/2011",1,0,0,0,0,0,0
"02/13/2014",14,5,0,4,3,6,1
"03/05/2012",11,0,1,8,4,0,0
"04/29/2010",2,2,0,0,0,0,1
"10/06/2016",467,212,29,262,105,81,0
"02/13/2012",1,5,5,3,2,1,0
"05/12/2013",5,3,0,2,0,0,0
"09/02/2014",10,1,0,1,1,0,0
"05/17/2015",8,1,0,3,2,3,0
"02/18/2014",5,1,1,3,0,0,0
"01/29/2010",0,1,0,0,0,0,0
"10/01/2014",12,9,1,11,2,1,0
"08/11/2012",26,20,0,24,20,0,0
"03/04/2015",16,6,1,17,5,7,0
"12/14/2014",8,1,0,2,0,0,0
"06/04/2013",8,17,0,1,12,8,0
"03/04/2014",2,3,0,1,0,1,1
"04/28/2010",1,1,0,2,0,1,1
"06/03/2014",6,3,0,3,2,2,0
"03/05/2013",4,0,0,3,0,1,1
"06/27/2009",0,0,0,0,1,1,0
"11/18/2009",0,0,0,0,1,0,0
"09/03/2012",2,1,0,0,0,1,0
"12/30/2013",0,1,0,1,2,3,0
"06/01/2014",3,3,0,0,0,0,0
"02/18/2013",0,0,0,0,0,0,0
"05/01/2009",1,2,0,0,0,0,1
"12/19/2011",0,2,0,0,1,2,0
"04/28/2016",103,52,6,59,21,31,0
"10/01/2015",18,10,4,19,2,4,1
"04/26/2013",9,6,0,4,4,0,0
"12/18/2014",9,5,2,4,3,3,1
"02/16/2010",1,2,0,0,0,0,0
"08/16/2011",1,0,0,1,0,0,0
"07/27/2015",13,6,2,5,1,3,0
"07/28/2011",1,0,0,0,0,0,1
"10/01/2016",203,93,7,107,31,33,0
"01/27/2014",6,4,0,8,4,1,0
"04/28/2015",23,6,1,8,1,2,0
"04/29/2012",2,5,0,2,0,3,0
"03/02/2016",65,29,6,33,9,14,1
"05/10/2016",93,37,7,49,17,14,1
"05/17/2011",2,0,0,0,0,0,1
"07/25/2013",1,1,0,1,0,0,1
"05/04/2009",4,2,0,1,0,2,0
"10/08/2011",0,0,0,0,0,4,0
"01/29/2016",51,20,1,37,19,12,1
"12/30/2014",6,0,2,3,0,0,0
"12/19/2010",0,0,0,0,0,0,0
"06/01/2015",16,14,2,11,4,6,0
"02/18/2012",6,5,0,5,0,4,0
"12/18/2015",41,12,1,12,6,9,0
"05/15/2010",0,0,0,0,0,0,0
"07/28/2010",0,0,0,0,0,0,0
"08/16/2012",0,0,0,0,0,0,1
"02/16/2011",0,0,0,0,0,0,1
"04/26/2015",5,1,1,2,1,0,0
"07/27/2016",175,114,6,91,57,33,1
"01/27/2015",35,20,3,9,4,7,0
"11/30/2009",0,0,0,0,0,0,0
"07/25/2014",5,1,0,1,0,3,0
"03/02/2015",19,4,0,5,4,11,0
"05/17/2012",18,9,3,3,0,0,0
"10/08/2012",16,8,1,1,9,1,0
"06/01/2012",126,32,0,56,32,16,0
"05/12/2016",145,102,17,99,66,43,0
"02/18/2011",1,0,0,0,0,0,1
"01/29/2015",14,14,1,6,4,0,1
"08/11/2015",22,8,2,3,3,3,0
"12/30/2011",0,1,0,0,0,1,0
"05/03/2009",5,1,0,1,3,0,0
"06/03/2010",1,0,0,0,0,0,1
"12/19/2013",2,6,1,3,4,2,0
"04/17/2009",1,0,0,1,0,0,1
"07/28/2014",5,2,0,1,0,2,0
"10/06/2011",3,0,0,1,0,0,1
"12/18/2012",0,1,4,1,0,0,1
"08/03/2009",3,0,0,0,0,0,0
"02/16/2012",36,1,4,10,8,4,1
"07/27/2013",0,0,0,0,0,0,0
"04/28/2013",8,5,4,2,0,0,0
"01/27/2016",45,11,5,17,8,5,0
"04/26/2016",102,46,6,48,11,14,0
"10/03/2015",8,2,0,3,1,1,0
"06/03/2011",2,0,0,0,0,1,0
"03/02/2014",0,2,0,0,3,1,0
"07/25/2015",4,0,0,1,0,0,0
"04/29/2014",6,7,0,3,1,2,1
"09/02/2010",2,1,0,0,0,1,1
"01/29/2014",15,6,0,12,7,9,0
"08/11/2016",172,75,8,90,17,18,1
"12/30/2012",0,0,0,0,0,1,0
"03/02/2012",91,24,1,23,13,10,0
"12/19/2012",10,3,1,0,3,1,0
"08/02/2009",0,0,0,1,0,0,0
"02/18/2010",1,1,1,0,0,0,1
"07/28/2013",1,0,0,1,0,0,0
"05/15/2012",21,1,4,12,4,1,0
"12/18/2013",8,1,0,9,0,0,1
"10/06/2012",16,0,4,13,4,6,0
"07/27/2014",1,0,0,0,1,0,0
"07/16/2009",0,0,0,1,0,0,1
"05/15/2013",3,0,0,0,2,1,1
"07/28/2012",0,2,0,0,0,0,0
"10/03/2016",492,251,34,299,92,72,0
"02/16/2013",2,0,0,0,0,0,0
"04/28/2014",8,9,0,3,2,2,0
"07/25/2016",171,74,10,69,47,24,0
"10/08/2010",0,1,0,0,0,1,1
"03/02/2013",0,0,0,0,0,0,0
"09/29/2009",2,0,0,0,0,0,0
"05/17/2010",1,0,0,0,0,0,0
"04/29/2013",35,9,4,7,8,2,0
"08/14/2012",20,8,0,4,4,0,0
"12/07/2009",1,0,0,1,0,0,0
"06/20/2013",7,4,0,3,1,0,0
"08/11/2009",0,1,1,0,0,0,0
"04/24/2015",22,5,3,10,2,4,1
"07/15/2016",160,52,9,67,27,21,0
"10/17/2010",0,0,0,0,0,0,0
"04/22/2009",4,4,0,2,0,1,1
"05/30/2012",37,22,1,27,8,10,0
"02/10/2016",58,25,5,28,10,12,1
"06/25/2015",17,13,1,11,0,1,0
"07/23/2014",8,4,0,3,2,3,1
