Date,the, a, an, of, i, you, Label
"12/15/2011",16,8,0,13,12,0,1
"04/27/2013",0,1,0,0,1,2,0
"08/17/2010",0,0,0,0,0,0,1
"07/31/2009",2,0,0,1,0,0,0
"07/26/2013",4,2,0,1,0,0,1
"10/20/2014",11,7,2,5,0,2,0
"05/18/2011",1,0,0,0,0,0,1
"03/27/2009",1,1,0,0,1,0,0
"05/13/2013",14,2,0,6,2,1,0
"01/28/2014",12,10,2,5,4,1,1
"08/10/2015",22,10,0,15,3,2,0
"09/25/2009",4,0,0,0,0,1,0
"05/19/2012",3,4,1,2,0,0,0
"02/12/2016",35,19,1,17,4,9,1
"10/20/2012",1,0,0,0,1,0,0
"05/14/2010",0,0,0,0,0,0,0
"08/12/2012",32,12,4,12,4,8,0
"12/09/2009",2,0,0,1,0,0,1
"09/01/2016",226,121,14,113,46,43,1
"05/11/2015",13,4,3,10,2,5,0
"02/14/2010",1,0,0,0,0,0,0
"11/29/2012",6,2,0,1,0,0,1
"08/15/2016",162,60,7,71,25,23,0
"03/03/2015",16,10,1,12,1,6,0
"04/27/2012",14,9,1,5,4,0,1
"02/15/2011",0,0,0,0,0,0,0
"06/02/2014",10,8,2,4,1,2,0
"08/06/2009",0,0,0,0,0,0,0
"11/28/2014",8,11,0,4,2,0,0
"10/20/2013",1,0,0,0,0,0,0
"08/10/2014",1,0,0,0,1,1,0
"01/28/2013",5,0,0,0,0,0,0
"08/18/2010",0,0,0,1,0,0,1
"05/13/2010",0,0,0,0,0,0,0
"05/19/2011",0,0,0,0,0,0,1
"11/29/2013",2,1,0,2,0,0,0
"08/13/2010",2,1,0,1,0,0,0
"02/12/2015",11,5,0,4,1,0,1
"05/07/2009",2,4,0,2,1,2,0
"10/20/2011",2,0,0,0,0,0,0
"10/21/2010",1,0,1,1,2,0,1
"02/14/2011",1,0,0,1,0,0,0
"08/17/2013",4,0,0,1,0,0,0
"08/12/2011",0,0,0,1,1,0,1
"05/16/2016",95,27,4,41,15,16,0
"09/01/2015",16,5,1,5,5,6,0
"05/11/2014",1,1,0,0,0,0,0
"02/19/2013",1,1,0,1,0,0,0
"03/03/2016",127,53,5,53,41,20,1
"12/04/2009",1,0,0,1,0,0,1
"08/15/2015",8,3,0,3,0,2,0
"02/15/2010",6,0,0,3,0,0,0
"06/02/2015",26,11,0,9,6,1,0
"07/26/2011",0,0,0,0,0,0,0
"11/28/2015",4,2,1,4,2,5,0
"02/17/2016",52,24,4,20,8,8,1
"05/18/2013",0,0,0,0,0,0,0
"08/18/2011",0,1,0,0,0,0,0
"08/10/2013",2,0,1,1,4,1,0
"05/13/2011",0,0,0,0,0,0,0
"02/19/2010",0,0,0,1,0,0,1
"08/13/2011",0,0,0,0,0,0,0
"04/19/2009",0,0,0,0,0,0,0
"12/20/2009",0,1,0,0,0,0,0
"03/01/2010",0,1,1,0,0,0,0
"07/24/2015",15,2,0,7,0,4,0
"09/01/2010",2,0,0,0,0,0,1
"10/05/2012",132,61,8,32,24,8,0
"10/20/2010",1,1,0,1,0,0,1
"10/07/2014",26,6,1,8,5,2,0
"05/16/2015",14,5,0,6,2,3,0
"03/03/2012",9,6,1,4,3,3,0
"08/12/2014",1,2,0,0,0,1,0
"08/15/2014",4,0,0,0,0,0,1
"02/15/2013",1,1,0,1,5,0,0
"09/04/2010",0,2,0,0,0,0,0
"12/15/2014",15,7,2,10,4,4,0
"05/14/2013",5,0,0,4,4,0,1
"05/13/2016",89,46,2,36,22,20,0
"03/06/2011",0,0,0,0,0,0,0
"02/17/2015",18,11,3,11,1,3,0
"06/02/2012",12,0,0,5,8,1,0
"10/04/2014",1,0,0,0,0,0,0
"03/01/2011",0,0,0,0,0,0,0
"02/19/2011",0,0,0,0,0,0,0
"07/24/2016",80,34,6,45,19,20,0
"10/07/2013",6,0,1,3,0,0,0
"12/08/2009",0,0,0,0,0,0,0
"05/14/2011",0,0,0,0,0,0,0
"10/05/2011",9,0,0,0,0,0,1
"07/15/2009",5,0,0,0,0,0,1
"07/18/2009",1,1,0,1,0,0,0
"05/16/2014",12,5,2,7,1,3,1
"01/26/2016",41,14,2,27,20,10,1
"08/12/2013",1,2,0,2,0,0,0
"05/16/2013",7,1,0,2,0,3,0
"03/03/2014",8,3,1,5,0,1,0
"02/15/2012",16,1,4,2,8,0,0
"04/16/2009",2,0,0,0,0,0,1
"12/15/2015",83,35,4,32,10,5,1
"08/15/2013",1,3,0,0,0,0,0
"04/25/2016",83,41,3,39,8,12,0
"05/14/2012",19,7,0,20,1,13,0
"03/06/2010",0,0,1,0,0,0,0
"10/04/2013",1,1,0,1,0,0,1
"02/17/2014",0,1,0,0,0,0,0
"06/02/2013",0,0,0,2,0,1,0
"03/01/2012",63,39,1,32,13,0,1
